Company,Date,Close/Last,Volume,Open,High,Low
CSCO,2023-07-17,50.81,16141050,50.2,50.95,50.14
CSCO,2023-07-14,50.38,19566590,50.42,50.97,50.055
CSCO,2023-07-13,51.53,17864780,50.69,51.62,50.65
CSCO,2023-07-12,50.74,26332530,51.56,51.93,50.5319
CSCO,2023-07-11,52.12,15002730,51.57,52.1475,51.54
CSCO,2023-07-10,51.4,19046470,51.07,51.5,51.02
CSCO,2023-07-07,50.99,15580380,51.0,51.65,50.74
CSCO,2023-07-06,51.11,13933190,51.065,51.19,50.65
CSCO,2023-07-05,51.51,14952220,50.97,51.57,50.925
CSCO,2023-07-03,51.82,7336040,51.36,51.83,51.33
CSCO,2023-06-30,51.74,18188310,51.88,52.26,51.52
CSCO,2023-06-29,51.21,14246000,50.86,51.27,50.82
CSCO,2023-06-28,50.87,11387580,50.78,51.015,50.44
CSCO,2023-06-27,50.86,12980980,50.31,51.04,50.25
CSCO,2023-06-26,50.21,13032100,50.305,50.8,50.18
CSCO,2023-06-23,50.33,16544580,50.64,50.72,50.09
CSCO,2023-06-22,51.12,14996300,50.65,51.14,50.4291
CSCO,2023-06-21,50.85,16939640,51.38,51.4,50.82
CSCO,2023-06-20,51.55,20140400,51.94,52.08,51.47
CSCO,2023-06-16,52.07,37134420,52.2,52.405,51.93
CSCO,2023-06-15,51.93,22496850,50.905,52.07,50.83
CSCO,2023-06-14,50.96,16630750,50.8,51.22,50.63
CSCO,2023-06-13,50.8,24035530,50.685,50.94,50.45
CSCO,2023-06-12,50.48,15497670,49.915,50.51,49.67
CSCO,2023-06-09,49.66,12173940,49.532,49.97,49.365
CSCO,2023-06-08,49.68,13289080,49.92,50.0,49.57
CSCO,2023-06-07,49.78,15950610,49.7,50.14,49.65
CSCO,2023-06-06,49.81,16029600,49.79,49.91,49.14
CSCO,2023-06-05,50.21,13964140,50.22,50.58,50.04
CSCO,2023-06-02,50.02,19155370,49.87,50.25,49.73
CSCO,2023-06-01,49.74,17816970,49.76,50.085,49.2609
CSCO,2023-05-31,49.67,51990280,49.91,50.025,49.605
CSCO,2023-05-30,50.17,19074760,49.99,50.485,49.74
CSCO,2023-05-26,49.86,19825590,49.11,50.09,49.11
CSCO,2023-05-25,49.03,21716990,47.77,49.23,47.72
CSCO,2023-05-24,48.41,15452950,48.95,49.0,48.174
CSCO,2023-05-23,48.91,17645880,48.61,49.35,48.6
CSCO,2023-05-22,48.82,18667480,49.11,49.229,48.77
CSCO,2023-05-19,49.13,28564110,48.43,49.34,48.4
CSCO,2023-05-18,48.2,41475720,45.76,48.245,45.7
CSCO,2023-05-17,47.63,29325950,47.15,47.76,47.0125
CSCO,2023-05-16,46.92,16500040,47.24,47.33,46.8
CSCO,2023-05-15,47.1,13204410,46.8,47.26,46.56
CSCO,2023-05-12,46.71,14097460,46.28,46.81,46.28
CSCO,2023-05-11,46.37,12522130,46.83,46.85,46.2
CSCO,2023-05-10,46.71,15625290,46.7,46.93,46.15
CSCO,2023-05-09,46.47,15221930,45.98,46.515,45.92
CSCO,2023-05-08,46.34,12000030,46.44,46.52,46.09
CSCO,2023-05-05,46.25,14317400,46.12,46.36,45.92
CSCO,2023-05-04,45.7,17748930,45.77,45.93,45.555
CSCO,2023-05-03,45.96,20765710,46.42,46.55,45.86
CSCO,2023-05-02,46.36,20175130,46.905,47.08,46.06
CSCO,2023-05-01,47.34,13122320,47.2,47.52,47.125
CSCO,2023-04-28,47.25,19664960,46.685,47.26,46.61
CSCO,2023-04-27,46.56,22845420,46.78,46.8,45.97
CSCO,2023-04-26,46.54,22390500,46.76,46.85,46.425
CSCO,2023-04-25,47.09,20281550,47.37,47.43,46.805
CSCO,2023-04-24,47.39,17359900,47.05,47.45,47.0
CSCO,2023-04-21,47.03,20861010,46.565,47.115,46.24
CSCO,2023-04-20,46.58,39769410,47.61,47.65,46.36
CSCO,2023-04-19,48.04,30466700,49.23,49.27,47.99
CSCO,2023-04-18,50.31,15203630,50.38,50.69,50.07
CSCO,2023-04-17,50.28,12042330,50.56,50.675,50.05
CSCO,2023-04-14,50.54,12360100,50.52,50.85,50.2
CSCO,2023-04-13,50.8,15451870,50.21,50.83,50.09
CSCO,2023-04-12,50.11,16100650,50.82,50.95,50.05
CSCO,2023-04-11,50.62,15957900,51.12,51.3,50.52
CSCO,2023-04-10,51.33,10177650,51.11,51.4,50.875
CSCO,2023-04-06,51.27,14749040,50.92,51.564,50.725
CSCO,2023-04-05,51.82,13797930,52.07,52.29,51.68
CSCO,2023-04-04,51.82,13599900,52.03,52.12,51.43
CSCO,2023-04-03,52.31,16884640,52.06,52.56,51.99
CSCO,2023-03-31,52.275,20588800,51.44,52.35,51.39
CSCO,2023-03-30,51.43,11754580,51.58,51.68,51.125
CSCO,2023-03-29,51.17,18463400,50.725,51.27,50.64
CSCO,2023-03-28,50.39,11124350,50.32,50.595,50.27
CSCO,2023-03-27,50.54,15857210,50.7,50.95,50.48
CSCO,2023-03-24,50.51,19439420,49.9,50.55,49.495
CSCO,2023-03-23,49.73,17775360,49.56,50.25,49.405
CSCO,2023-03-22,49.46,21399350,50.74,50.75,49.42
CSCO,2023-03-21,50.67,23334040,51.205,51.33,50.33
CSCO,2023-03-20,50.94,22699750,50.22,51.04,50.01
CSCO,2023-03-17,50.19,47642680,50.26,50.55,49.735
CSCO,2023-03-16,50.12,21427590,48.68,50.29,48.51
CSCO,2023-03-15,49.06,17355070,48.37,49.11,48.37
CSCO,2023-03-14,49.05,17679560,48.68,49.255,48.505
CSCO,2023-03-13,48.41,20280770,48.53,48.88,48.12
CSCO,2023-03-10,48.56,16338210,48.89,49.17,48.3
CSCO,2023-03-09,48.81,12497690,49.3,49.69,48.705
CSCO,2023-03-08,49.11,12055540,49.02,49.27,48.74
CSCO,2023-03-07,48.91,17506590,49.57,49.755,48.63
CSCO,2023-03-06,49.42,13878360,49.455,49.81,49.24
CSCO,2023-03-03,49.28,15969870,48.99,49.36,48.815
CSCO,2023-03-02,48.53,18283180,48.32,48.63,48.12
CSCO,2023-03-01,48.34,13449320,48.44,48.59,48.02
CSCO,2023-02-28,48.42,16622430,48.81,48.93,48.38
CSCO,2023-02-27,48.73,14776420,48.95,49.335,48.55
CSCO,2023-02-24,48.48,17251580,48.805,48.9,48.165
CSCO,2023-02-23,49.21,14066190,49.535,49.68,48.55
CSCO,2023-02-22,49.31,20301890,49.85,49.85,48.89
CSCO,2023-02-21,49.69,25100480,50.71,50.76,49.62
CSCO,2023-02-17,50.77,25321410,51.325,51.44,50.6
CSCO,2023-02-16,50.99,48125250,49.99,51.74,49.8
CSCO,2023-02-15,48.45,27319960,47.5,48.52,47.33
CSCO,2023-02-14,47.7,19134350,47.78,48.0,47.18
CSCO,2023-02-13,47.86,19422110,47.45,47.99,47.39
CSCO,2023-02-10,47.26,17397290,46.7,47.32,46.64
CSCO,2023-02-09,46.73,18598420,47.225,47.41,46.43
CSCO,2023-02-08,46.96,18905530,47.38,47.54,46.77
CSCO,2023-02-07,47.84,16675160,47.24,48.145,46.97
CSCO,2023-02-06,47.57,13991570,48.07,48.28,47.515
CSCO,2023-02-03,48.63,17979960,49.3,49.3,48.505
CSCO,2023-02-02,49.32,17883770,48.53,49.56,48.355
CSCO,2023-02-01,48.57,19639430,48.39,48.9,47.505
CSCO,2023-01-31,48.67,16821700,48.12,48.69,48.05
CSCO,2023-01-30,48.22,19261940,48.14,48.5,48.12
CSCO,2023-01-27,48.51,13414780,48.1,48.73,47.97
CSCO,2023-01-26,48.34,12952660,48.15,48.465,47.83
CSCO,2023-01-25,47.98,14638660,47.98,48.079,47.23
CSCO,2023-01-24,47.81,14872690,47.49,48.015,47.055
CSCO,2023-01-23,47.5,15180550,46.895,47.87,46.81
CSCO,2023-01-20,46.78,21847200,46.06,46.83,45.67
CSCO,2023-01-19,46.46,19118550,46.95,47.05,46.39
CSCO,2023-01-18,46.9,19882210,48.185,48.27,46.8903
CSCO,2023-01-17,48.08,19290750,48.92,48.94,47.95
CSCO,2023-01-13,48.88,12649390,48.56,49.02,48.42
CSCO,2023-01-12,49.0,14241690,49.21,49.43,48.85
CSCO,2023-01-11,49.21,12530860,48.83,49.23,48.7
CSCO,2023-01-10,48.81,12474440,48.8,49.21,48.59
CSCO,2023-01-09,48.58,13937950,48.255,49.21,48.22
CSCO,2023-01-06,48.32,20823080,47.46,48.585,47.275
CSCO,2023-01-05,46.88,17372060,47.49,47.49,46.76
CSCO,2023-01-04,47.55,18339810,48.28,48.48,47.17
CSCO,2023-01-03,47.94,17718890,47.86,48.05,47.31
CSCO,2022-12-30,47.64,13199820,47.27,47.67,46.95
CSCO,2022-12-29,47.5,11396470,47.26,47.74,47.26
CSCO,2022-12-28,47.07,9847362,47.69,47.77,46.98
CSCO,2022-12-27,47.53,12066170,47.67,47.71,47.215
CSCO,2022-12-23,47.48,9554363,47.25,47.49,47.01
CSCO,2022-12-22,47.32,23119120,47.49,47.49,46.685
CSCO,2022-12-21,47.66,15599590,47.69,47.96,47.42
CSCO,2022-12-20,47.37,15086160,47.41,47.56,46.79
CSCO,2022-12-19,47.4,17986270,47.66,47.96,47.14
CSCO,2022-12-16,47.81,66125390,47.41,48.0,47.08
CSCO,2022-12-15,48.15,19373090,48.96,49.05,47.74
CSCO,2022-12-14,49.3,19050350,49.74,50.06,48.82
CSCO,2022-12-13,49.64,22705890,50.33,50.71,49.23
CSCO,2022-12-12,49.3,15425340,48.8,49.32,48.37
CSCO,2022-12-09,48.46,14303160,49.1,49.17,48.44
CSCO,2022-12-08,48.99,16015800,48.66,49.2,48.62
CSCO,2022-12-07,48.18,15171820,48.4,48.55,48.06
CSCO,2022-12-06,48.59,15443790,49.44,49.44,48.261
CSCO,2022-12-05,49.33,13795900,49.55,49.64,49.165
CSCO,2022-12-02,49.7,12325140,49.23,49.84,48.915
CSCO,2022-12-01,49.97,18559510,49.88,50.46,49.69
CSCO,2022-11-30,49.72,29919730,48.17,49.83,47.96
CSCO,2022-11-29,48.28,13779540,48.25,48.41,47.84
CSCO,2022-11-28,48.08,14978280,48.29,48.47,47.92
CSCO,2022-11-25,48.4,8492585,48.75,49.05,48.345
CSCO,2022-11-23,48.57,12065560,48.4,48.99,48.32
CSCO,2022-11-22,48.38,16367810,48.0,48.42,47.76
CSCO,2022-11-21,47.62,17049540,47.61,48.29,47.56
CSCO,2022-11-18,47.79,30843250,46.91,48.04,46.86
CSCO,2022-11-17,46.59,38887820,46.188,46.845,45.1601
CSCO,2022-11-16,44.39,24939620,44.94,44.98,44.301
CSCO,2022-11-15,44.9,19318030,45.04,45.24,44.445
CSCO,2022-11-14,44.74,21091270,44.832,45.44,44.68
CSCO,2022-11-11,44.79,25961760,45.18,45.32,43.92
CSCO,2022-11-10,45.66,27190060,45.7,45.81,44.645
CSCO,2022-11-09,43.91,19311650,44.51,44.72,43.89
CSCO,2022-11-08,44.61,17503080,44.69,45.35,44.18
CSCO,2022-11-07,44.55,21382990,44.832,44.98,44.405
CSCO,2022-11-04,44.52,19648750,44.5,45.08,43.8315
CSCO,2022-11-03,43.85,17895620,44.03,44.15,43.39
CSCO,2022-11-02,44.57,15309360,45.47,46.21,44.55
CSCO,2022-11-01,45.46,12088890,45.58,45.79,45.06
CSCO,2022-10-31,45.43,17793740,45.305,45.64,45.055
CSCO,2022-10-28,45.64,17978330,44.69,45.71,44.65
CSCO,2022-10-27,44.42,18102450,44.77,45.085,44.36
CSCO,2022-10-26,44.38,20055300,44.93,45.23,44.28
CSCO,2022-10-25,44.36,19165170,43.34,44.4,43.2
CSCO,2022-10-24,43.54,18785260,43.115,43.73,42.9
CSCO,2022-10-21,42.8,25035030,41.85,42.97,41.81
CSCO,2022-10-20,41.71,16830460,41.56,42.615,41.455
CSCO,2022-10-19,41.88,19071940,41.63,42.235,41.47
CSCO,2022-10-18,41.79,18223320,41.92,42.22,41.26
CSCO,2022-10-17,41.3,27845190,41.04,41.525,40.95
CSCO,2022-10-14,40.2,19572200,40.84,40.96,39.92
CSCO,2022-10-13,40.61,26328350,39.03,40.8,38.605
CSCO,2022-10-12,39.27,17279920,39.7,39.86,39.25
CSCO,2022-10-11,39.58,19386430,39.81,40.11,39.27
CSCO,2022-10-10,39.89,16628440,40.625,40.805,39.6
CSCO,2022-10-07,40.27,19055400,41.25,41.25,40.0809
CSCO,2022-10-06,41.52,18198830,41.65,42.09,41.37
CSCO,2022-10-05,41.99,14289740,41.585,42.25,41.4
CSCO,2022-10-04,41.82,22889360,41.56,42.035,41.39
CSCO,2022-10-03,41.29,22203580,40.67,41.53,40.47
CSCO,2022-09-30,40.0,27989870,40.66,41.04,39.96
CSCO,2022-09-29,40.57,19496430,41.05,41.1,40.15
CSCO,2022-09-28,41.34,23217710,40.85,41.57,40.592
CSCO,2022-09-27,40.52,15027870,41.14,41.46,40.225
CSCO,2022-09-26,40.58,22694820,40.66,41.19,40.37
CSCO,2022-09-23,40.66,19067690,41.25,41.25,40.12
CSCO,2022-09-22,41.15,16690990,41.34,41.55,41.14
CSCO,2022-09-21,41.59,21415880,42.32,42.865,41.57
CSCO,2022-09-20,42.58,16813920,43.01,43.02,42.2625
CSCO,2022-09-19,43.3,13667540,42.895,43.44,42.76
CSCO,2022-09-16,43.3,32696100,43.11,43.58,42.785
CSCO,2022-09-15,43.29,18148600,43.81,43.87,43.09
CSCO,2022-09-14,43.96,27551510,44.04,44.27,43.5604
CSCO,2022-09-13,44.11,23028650,45.72,45.91,44.02
CSCO,2022-09-12,46.4,17923010,46.11,46.73,45.97
CSCO,2022-09-09,45.77,15499420,45.66,45.89,45.395
CSCO,2022-09-08,45.37,14231500,44.76,45.47,44.62
CSCO,2022-09-07,45.02,18297410,44.75,45.165,44.35
CSCO,2022-09-06,44.47,14366070,44.66,44.787,43.98
CSCO,2022-09-02,44.59,14720950,45.71,45.92,44.275
CSCO,2022-09-01,45.29,16236430,44.57,45.34,44.4
CSCO,2022-08-31,44.72,23006140,45.78,45.83,44.585
CSCO,2022-08-30,45.24,14279070,45.75,45.87,44.9608
CSCO,2022-08-29,45.71,13425740,45.72,46.0,45.49
CSCO,2022-08-26,45.89,20309830,47.08,47.27,45.88
CSCO,2022-08-25,47.27,23039280,47.25,47.43,46.84
CSCO,2022-08-24,47.07,14946490,47.09,47.405,46.87
CSCO,2022-08-23,47.41,13596810,47.59,48.04,47.39
CSCO,2022-08-22,47.71,20534050,48.47,48.5,47.515
CSCO,2022-08-19,48.7,23130410,49.01,49.46,48.535
CSCO,2022-08-18,49.37,39999940,49.795,50.0,49.11
CSCO,2022-08-17,46.66,27975610,46.36,47.1,46.225
CSCO,2022-08-16,46.77,21153700,46.57,47.01,46.4401
CSCO,2022-08-15,46.59,15456070,46.39,46.62,46.025
CSCO,2022-08-12,46.61,16967590,46.09,46.61,45.97
CSCO,2022-08-11,45.9,15849320,46.11,46.425,45.77
CSCO,2022-08-10,46.02,18935430,45.71,46.06,45.43
CSCO,2022-08-09,44.92,12826330,45.15,45.18,44.7249
CSCO,2022-08-08,45.02,15466670,45.49,45.52,44.855
CSCO,2022-08-05,45.01,19533920,44.91,45.07,44.54
CSCO,2022-08-04,45.38,15249320,45.9,45.93,45.005
CSCO,2022-08-03,45.71,14943770,44.9,45.82,44.79
CSCO,2022-08-02,44.92,15005410,45.52,45.7,44.9019
CSCO,2022-08-01,45.28,14153360,45.06,45.427,44.76
CSCO,2022-07-29,45.37,23701680,45.11,45.49,44.83
CSCO,2022-07-28,45.62,17576190,44.88,45.865,44.71
CSCO,2022-07-27,44.64,22348960,44.19,44.79,43.83
CSCO,2022-07-26,43.83,19513030,44.37,44.54,43.75
CSCO,2022-07-25,44.34,12954740,44.66,44.66,44.11
CSCO,2022-07-22,44.46,14854640,44.78,44.92,44.25
CSCO,2022-07-21,44.58,15364580,44.29,44.69,44.07
CSCO,2022-07-20,44.13,15599220,44.08,44.315,43.66
CSCO,2022-07-19,44.03,22861380,42.82,44.09,42.65
CSCO,2022-07-18,42.6,16743800,43.3,43.32,42.405
CSCO,2022-07-15,43.07,19897840,42.5,43.13,42.5
CSCO,2022-07-14,42.33,17336230,41.79,42.47,41.35
CSCO,2022-07-13,42.7,16854200,41.854,43.05,41.8
CSCO,2022-07-12,42.86,17385310,43.58,43.83,42.66
CSCO,2022-07-11,43.25,15279570,43.34,43.68,43.07
CSCO,2022-07-08,43.39,11816980,43.03,43.605,42.94
CSCO,2022-07-07,43.22,22316700,42.88,43.36,42.79
CSCO,2022-07-06,42.69,17250440,42.12,42.93,42.01
CSCO,2022-07-05,41.96,24448140,41.52,41.97,40.82
CSCO,2022-07-01,42.6,24338550,42.52,42.7,41.57
CSCO,2022-06-30,42.64,24947920,42.37,43.14,42.19
CSCO,2022-06-29,42.88,13450790,43.14,43.26,42.6938
CSCO,2022-06-28,43.06,20094260,43.91,44.4713,42.99
CSCO,2022-06-27,43.77,22755300,44.29,44.29,43.625
CSCO,2022-06-24,44.1,30543780,43.44,44.215,43.24
CSCO,2022-06-23,42.93,33801720,43.41,43.46,42.715
CSCO,2022-06-22,43.57,19942290,43.47,44.115,43.17
CSCO,2022-06-21,44.14,23277880,43.805,44.28,43.7
CSCO,2022-06-17,43.39,59678620,43.36,44.0001,43.24
CSCO,2022-06-16,43.32,27049020,42.81,43.4099,42.81
CSCO,2022-06-15,43.8,22525080,43.37,44.425,43.0999
CSCO,2022-06-14,42.91,22499140,43.63,43.7,42.57
CSCO,2022-06-13,43.24,29050820,43.06,43.84,42.89
CSCO,2022-06-10,43.49,20267050,43.8,43.99,43.29
CSCO,2022-06-09,44.26,18417690,44.83,45.27,44.24
CSCO,2022-06-08,44.92,16263800,45.45,45.63,44.88
CSCO,2022-06-07,45.57,14667230,44.82,45.65,44.715
CSCO,2022-06-06,45.33,12641920,45.603,46.09,45.125
CSCO,2022-06-03,45.25,17946970,45.55,45.74,45.12
CSCO,2022-06-02,45.79,20546750,45.18,45.8,44.895
CSCO,2022-06-01,45.23,20665970,45.55,45.8,44.765
CSCO,2022-05-31,45.05,64821190,45.27,45.605,44.735
