Company,Date,Close/Last,Volume,Open,High,Low
META,2023-07-17,310.62,25323130,307.54,311.71,304.71
META,2023-07-14,308.87,23054110,311.79,314.88,307.3612
META,2023-07-13,313.41,30280970,313.62,316.24,310.2901
META,2023-07-12,309.34,36677130,301.745,309.45,300.1004
META,2023-07-11,298.29,27585920,293.9,300.18,291.9
META,2023-07-10,294.1,37058310,295.55,298.13,287.05
META,2023-07-07,290.53,25585980,292.18,296.2,288.66
META,2023-07-06,291.99,47733830,295.885,298.12,291.31
META,2023-07-05,294.37,33865460,287.65,298.12,286.36
META,2023-07-03,286.02,8608555,286.7,289.4,284.8499
META,2023-06-30,286.98,19694870,284.76,289.05,284.415
META,2023-06-29,281.53,15395690,284.5,286.57,280.69
META,2023-06-28,285.29,16722120,284.82,289.55,284.06
META,2023-06-27,287.05,26108260,282.01,289.345,280.655
META,2023-06-26,278.47,24232650,288.7,289.79,277.6
META,2023-06-23,288.73,51092040,281.51,289.67,278.95
META,2023-06-22,284.88,17563060,279.08,285.26,277.79
META,2023-06-21,281.64,20556170,283.53,284.0,278.36
META,2023-06-20,284.33,20701590,278.73,284.8,276.22
META,2023-06-16,281.0,43127730,284.75,287.85,280.13
META,2023-06-15,281.83,25973460,272.3,283.99,271.42
META,2023-06-14,273.35,19175070,271.89,274.99,268.315
META,2023-06-13,271.32,16164020,274.88,275.72,269.0923
META,2023-06-12,271.05,15471700,267.17,271.75,265.33
META,2023-06-09,264.95,16949790,262.48,267.949,261.7
META,2023-06-08,264.58,20899360,260.62,267.65,258.88
META,2023-06-07,263.6,26163630,271.67,274.25,262.8
META,2023-06-06,271.12,19419010,270.14,276.57,269.69
META,2023-06-05,271.39,20742950,270.3,275.57,269.56
META,2023-06-02,272.61,19416930,272.66,275.35,271.12
META,2023-06-01,272.61,25609510,265.9,274.0,265.89
META,2023-05-31,264.72,25473690,260.0,265.0,258.45
META,2023-05-30,262.52,23816480,265.25,268.65,261.29
META,2023-05-26,262.04,25768660,252.93,262.3107,252.71
META,2023-05-25,252.69,22371440,253.4,255.62,249.17
META,2023-05-24,249.21,17724340,245.28,249.5892,244.952
META,2023-05-23,246.74,17748120,246.81,251.61,246.65
META,2023-05-22,248.32,27738480,245.41,253.57,245.12
META,2023-05-19,245.64,21733580,247.47,248.69,243.41
META,2023-05-18,246.85,22943300,241.3,247.0881,241.19
META,2023-05-17,242.485,21193080,238.45,243.8423,238.14
META,2023-05-16,238.82,18163770,235.79,239.635,235.52
META,2023-05-15,238.86,20653230,236.92,240.255,235.33
META,2023-05-12,233.81,16161450,236.74,236.9599,231.45
META,2023-05-11,235.79,20448990,233.05,238.21,232.3
META,2023-05-10,233.08,19119010,236.17,236.75,230.72
META,2023-05-09,233.37,16865590,231.46,235.88,231.08
META,2023-05-08,233.27,16400530,231.415,235.62,230.27
META,2023-05-05,232.78,27000480,232.24,234.68,229.85
META,2023-05-04,233.52,17889390,236.06,238.2,232.9264
META,2023-05-03,237.03,34463860,239.47,241.75,232.75
META,2023-05-02,239.24,24350150,243.18,244.92,238.99
META,2023-05-01,243.18,29143910,238.615,244.0,236.46
META,2023-04-28,240.32,39554040,239.01,240.43,235.75
META,2023-04-27,238.56,71196530,239.89,241.685,236.77
META,2023-04-26,209.4,41992730,212.5,214.11,208.88
META,2023-04-25,207.55,19198180,210.815,211.26,207.13
META,2023-04-24,212.79,15750920,213.675,213.92,210.71
META,2023-04-21,212.89,17717170,210.21,213.41,209.58
META,2023-04-20,213.07,16475440,213.48,216.75,212.77
META,2023-04-19,215.7,15898080,213.472,217.33,212.93
META,2023-04-18,217.89,12280980,219.91,220.44,216.21
META,2023-04-17,218.86,15481870,219.79,220.979,217.13
META,2023-04-14,221.49,21591210,217.88,222.11,217.55
META,2023-04-13,220.35,23310360,215.73,221.15,215.69
META,2023-04-12,214.0,18972170,214.835,216.84,212.584
META,2023-04-11,213.85,16710100,215.48,216.02,213.41
META,2023-04-10,214.75,16106070,214.71,215.66,210.66
META,2023-04-06,216.1,26104410,209.25,216.94,208.65
META,2023-04-05,211.48,19396630,214.15,215.19,209.94
META,2023-04-04,214.72,21026370,213.39,216.24,212.54
META,2023-04-03,213.07,17924610,208.84,213.4861,208.2
META,2023-03-31,211.94,25440270,207.24,212.17,206.77
META,2023-03-30,207.84,22608300,203.38,208.09,202.82
META,2023-03-29,205.35,18851140,203.56,205.72,202.5355
META,2023-03-28,200.68,19127300,200.15,201.03,197.9
META,2023-03-27,202.84,18527180,204.81,205.86,201.36
META,2023-03-24,206.01,27733040,205.18,207.58,203.55
META,2023-03-23,204.28,27389670,202.84,207.88,202.15
META,2023-03-22,199.81,28477760,202.5,207.37,199.67
META,2023-03-21,202.16,31826950,203.2,203.55,197.95
META,2023-03-20,197.81,25186320,198.48,199.36,193.64
META,2023-03-17,195.61,50141100,200.56,201.9,195.4304
META,2023-03-16,204.93,50819660,198.26,205.76,196.0886
META,2023-03-15,197.75,42123550,192.95,197.78,190.8351
META,2023-03-14,194.02,41642630,187.58,194.32,186.56
META,2023-03-13,180.9,24727970,177.96,183.78,174.82
META,2023-03-10,179.51,25665030,181.01,184.77,178.8
META,2023-03-09,181.69,26582750,186.35,188.93,180.3
META,2023-03-08,184.97,19432410,182.87,185.26,181.34
META,2023-03-07,184.51,36701500,189.0,190.36,184.01
META,2023-03-06,184.9,33209390,188.0,189.66,184.64
META,2023-03-03,185.25,45877690,178.92,186.62,177.05
META,2023-03-02,174.53,17360710,172.38,175.01,171.43
META,2023-03-01,173.42,30998380,174.59,177.85,173.05
META,2023-02-28,174.94,46051120,171.9,177.55,171.87
META,2023-02-27,169.54,19277000,171.875,173.12,169.06
META,2023-02-24,170.39,19791330,168.64,170.72,167.66
META,2023-02-23,172.04,20017780,172.0,173.69,169.38
META,2023-02-22,171.12,22433160,171.07,172.755,169.69
META,2023-02-21,172.08,34592580,174.31,178.17,171.88
META,2023-02-17,172.88,24171260,170.22,173.18,169.7
META,2023-02-16,172.44,25827470,172.75,175.85,171.79
META,2023-02-15,177.16,25337970,176.415,178.19,175.33
META,2023-02-14,179.48,24034630,177.16,181.5064,175.88
META,2023-02-13,179.43,31463220,178.215,181.0,175.82
META,2023-02-10,174.15,33433570,176.353,178.89,173.35
META,2023-02-09,177.92,37118810,186.13,186.65,177.27
META,2023-02-08,183.43,36139070,190.0,190.83,182.92
META,2023-02-07,191.62,47080660,185.575,193.7799,184.4
META,2023-02-06,186.06,42483810,186.53,190.7,185.5156
META,2023-02-03,186.53,76809700,183.465,196.77,182.89
META,2023-02-02,188.77,150475700,183.38,197.16,180.16
META,2023-02-01,153.12,55661020,148.03,153.58,147.06
META,2023-01-31,148.97,29842110,147.95,149.88,147.52
META,2023-01-30,147.06,28040100,149.405,151.1233,146.95
META,2023-01-27,151.74,35771870,148.237,153.19,147.39
META,2023-01-26,147.3,25482080,144.4,147.51,143.3
META,2023-01-25,141.5,26622020,141.22,143.17,140.31
META,2023-01-24,143.14,21970190,141.69,145.0,141.36
META,2023-01-23,143.27,27470090,139.29,143.76,138.66
META,2023-01-20,139.37,28688630,135.89,139.94,134.61
META,2023-01-19,136.15,28625230,132.49,137.45,132.14
META,2023-01-18,133.02,20215490,135.81,137.25,132.8
META,2023-01-17,135.36,21147590,136.176,136.75,134.25
META,2023-01-13,136.98,22423840,134.97,137.39,134.835
META,2023-01-12,136.71,30757730,133.44,137.6781,131.76
META,2023-01-11,132.89,25423050,130.96,133.8494,130.34
META,2023-01-10,132.99,28684430,127.27,133.44,127.15
META,2023-01-09,129.47,26649150,131.16,132.95,129.28
META,2023-01-06,130.02,27584500,128.97,130.33,126.04
META,2023-01-05,126.94,25447100,126.125,128.52,124.54
META,2023-01-04,127.37,32397090,127.38,129.0498,125.85
META,2023-01-03,124.74,35528530,122.82,126.37,122.28
META,2022-12-30,120.34,19583830,118.16,120.42,117.74
META,2022-12-29,120.26,22366190,116.4,121.03,115.77
META,2022-12-28,115.62,19612470,116.25,118.15,115.51
META,2022-12-27,116.88,21392310,117.93,118.6,116.0501
META,2022-12-23,118.04,17796630,116.03,118.175,115.535
META,2022-12-22,117.12,23618120,117.2,118.62,114.38
META,2022-12-21,119.76,20392800,116.7,120.34,115.62
META,2022-12-20,117.09,28742500,113.26,117.33,112.46
