Company,Date,Close/Last,Volume,Open,High,Low
NFLX,2023-07-17,450.05,6901141,445.57,456.68,445.1053
NFLX,2023-07-14,441.91,7195860,452.785,456.48,439.7
NFLX,2023-07-13,450.38,6157475,447.0,451.67,441.177
NFLX,2023-07-12,444.05,5731657,444.55,445.4085,437.7494
NFLX,2023-07-11,440.21,4574559,438.65,440.8,431.0415
NFLX,2023-07-10,441.71,4251737,438.52,444.41,436.82
NFLX,2023-07-07,438.1,4165144,438.6,442.325,435.8354
NFLX,2023-07-06,438.84,4944892,440.0,442.7999,430.72
NFLX,2023-07-05,445.9,6875414,444.91,450.97,439.6244
NFLX,2023-07-03,441.44,3728461,439.76,441.545,431.62
NFLX,2023-06-30,440.49,7346394,431.1,444.12,431.1
NFLX,2023-06-29,428.24,4932310,434.33,437.85,426.15
NFLX,2023-06-28,429.84,8811342,423.1,437.2915,422.89
NFLX,2023-06-27,417.08,4818066,417.39,420.8789,411.5
NFLX,2023-06-26,415.94,4640022,422.435,430.9599,414.9
NFLX,2023-06-23,424.02,8298600,418.59,425.82,417.73
NFLX,2023-06-22,422.48,4872246,422.93,424.71,418.6801
NFLX,2023-06-21,424.45,5146441,432.65,434.55,422.54
NFLX,2023-06-20,434.7,4762313,430.18,440.0,430.0
NFLX,2023-06-16,431.96,8753740,446.15,447.51,430.9
NFLX,2023-06-15,445.27,7099915,444.1,448.65,439.5
NFLX,2023-06-14,440.86,8413089,434.99,447.33,433.5
NFLX,2023-06-13,435.73,7820535,430.01,437.27,428.4
NFLX,2023-06-12,423.97,5967712,418.83,424.7,416.5669
NFLX,2023-06-09,420.02,12372830,424.5,425.9,414.76
NFLX,2023-06-08,409.37,5991087,399.77,409.54,396.34
NFLX,2023-06-07,399.77,11932390,410.43,418.95,399.23
NFLX,2023-06-06,399.29,4991532,405.0,405.12,396.93
NFLX,2023-06-05,403.54,7247413,400.47,413.86,400.15
NFLX,2023-06-02,400.47,5902381,402.89,406.58,395.9
NFLX,2023-06-01,403.13,7160145,397.41,407.52,393.08
NFLX,2023-05-31,395.23,6988047,391.89,396.26,388.91
NFLX,2023-05-30,392.98,10864990,397.48,405.11,385.79
NFLX,2023-05-26,378.88,9360436,361.1,383.76,356.0
NFLX,2023-05-25,359.0,6263105,359.61,367.4499,357.42
NFLX,2023-05-24,364.85,7973316,356.93,367.151,356.625
NFLX,2023-05-23,355.99,6866078,360.24,364.17,354.31
NFLX,2023-05-22,363.01,5406420,365.36,372.01,362.5
NFLX,2023-05-19,365.36,7859703,369.86,369.99,363.81
NFLX,2023-05-18,371.29,20925240,347.25,375.87,346.37
NFLX,2023-05-17,339.96,3958807,331.76,341.38,329.615
NFLX,2023-05-16,333.75,3334863,334.0,335.17,331.91
NFLX,2023-05-15,335.89,3652970,340.62,341.9,335.54
NFLX,2023-05-12,339.89,6082360,344.76,348.1664,337.3637
NFLX,2023-05-11,344.76,8033531,334.98,345.47,331.84
NFLX,2023-05-10,335.42,4289897,335.21,337.11,329.51
NFLX,2023-05-09,332.14,5544852,330.67,336.32,329.7401
NFLX,2023-05-08,331.21,5488593,322.99,332.56,322.03
NFLX,2023-05-05,322.76,3990637,323.61,324.15,319.4401
NFLX,2023-05-04,320.78,3879657,319.01,323.61,317.95
NFLX,2023-05-03,319.3,5064057,317.55,324.62,315.85
NFLX,2023-05-02,317.55,4318612,325.0,326.07,315.62
NFLX,2023-05-01,324.12,5341484,329.435,331.23,318.09
NFLX,2023-04-28,329.93,4228374,325.24,330.8077,324.0
NFLX,2023-04-27,325.85,5618768,324.3,327.45,317.44
NFLX,2023-04-26,321.15,4623238,321.36,325.9,320.47
NFLX,2023-04-25,322.55,5426642,328.5,328.655,321.1
NFLX,2023-04-24,329.02,5586627,330.2,334.66,326.75
NFLX,2023-04-21,327.98,6348000,323.0,328.29,319.5
NFLX,2023-04-20,325.35,9947800,320.39,331.4298,318.33
NFLX,2023-04-19,323.12,22128270,324.21,325.75,316.1
NFLX,2023-04-18,333.7,17944500,335.0,337.19,330.5
NFLX,2023-04-17,332.72,6136047,338.0,338.39,327.5
NFLX,2023-04-14,338.63,5350508,342.94,344.853,336.41
NFLX,2023-04-13,346.19,7406437,339.99,346.43,338.75
NFLX,2023-04-12,331.03,3965440,340.81,342.8,330.04
NFLX,2023-04-11,338.21,4044778,343.45,347.14,337.635
NFLX,2023-04-10,338.99,2657898,335.27,339.88,333.36
NFLX,2023-04-06,339.33,4660542,339.34,340.48,332.63
NFLX,2023-04-05,342.35,4205545,345.3,345.43,336.2526
NFLX,2023-04-04,346.75,3298072,348.49,349.8,343.95
NFLX,2023-04-03,348.28,4413650,341.83,348.58,340.4001
NFLX,2023-03-31,345.48,5610161,340.05,345.84,337.2001
NFLX,2023-03-30,338.43,7131468,340.27,343.29,335.3
NFLX,2023-03-29,332.03,6287336,326.29,332.85,325.73
NFLX,2023-03-28,323.52,6489388,326.06,333.32,321.28
NFLX,2023-03-27,327.66,8625763,327.55,336.44,324.41
NFLX,2023-03-24,328.39,13004090,320.63,331.83,320.63
NFLX,2023-03-23,320.37,15653350,304.68,322.78,304.14
NFLX,2023-03-22,293.9,5808035,306.31,306.45,293.54
NFLX,2023-03-21,305.79,4886279,306.32,307.92,300.43
NFLX,2023-03-20,305.13,5113430,299.79,307.5,296.0
NFLX,2023-03-17,303.5,6918777,310.06,310.76,300.0
NFLX,2023-03-16,310.06,7912371,304.75,316.6,301.71
NFLX,2023-03-15,303.79,9215340,292.51,306.31,292.28
NFLX,2023-03-14,294.94,5956692,295.97,297.45,290.31
NFLX,2023-03-13,293.51,6292385,287.34,299.24,285.3301
NFLX,2023-03-10,292.76,5759315,297.905,298.79,289.0
NFLX,2023-03-09,297.78,7443350,312.08,312.51,294.88
NFLX,2023-03-08,311.79,3479474,309.29,311.83,305.75
NFLX,2023-03-07,308.47,4553082,312.675,314.3,306.6226
NFLX,2023-03-06,312.03,5660743,317.0,323.3,311.8412
NFLX,2023-03-03,315.18,5953319,315.45,317.49,310.82
NFLX,2023-03-02,311.88,4921053,310.96,315.57,310.38
NFLX,2023-03-01,313.48,4911311,321.55,326.6,312.36
NFLX,2023-02-28,322.13,3676075,323.7,327.62,321.17
NFLX,2023-02-27,323.03,6142580,323.87,330.0,322.121
NFLX,2023-02-24,317.15,6830692,319.3,321.5,314.52
NFLX,2023-02-23,323.65,13238670,331.23,331.28,314.3
NFLX,2023-02-22,334.88,4546249,337.5,341.91,332.82
NFLX,2023-02-21,337.5,5710292,342.85,344.1253,336.4177
NFLX,2023-02-17,347.96,5294727,347.905,349.0,342.44
NFLX,2023-02-16,350.71,5215726,355.0,361.5,350.31
NFLX,2023-02-15,361.42,3969945,356.63,362.88,354.24
NFLX,2023-02-14,359.96,4624758,357.55,363.75,353.4
NFLX,2023-02-13,358.57,7134445,349.5,359.7034,344.25
NFLX,2023-02-10,347.36,7291096,359.16,362.14,347.14
NFLX,2023-02-09,362.5,6901100,372.41,373.83,361.7444
NFLX,2023-02-08,366.83,6253179,360.02,368.193,358.31
NFLX,2023-02-07,362.95,6289368,358.51,364.1799,354.18
NFLX,2023-02-06,361.48,4994942,363.642,368.45,360.68
NFLX,2023-02-03,365.9,9402034,359.08,379.4301,359.0
NFLX,2023-02-02,366.89,7856952,365.16,368.32,358.43
NFLX,2023-02-01,361.99,8005170,353.86,365.385,349.91
NFLX,2023-01-31,353.86,5660738,349.98,355.95,348.71
NFLX,2023-01-30,353.11,5127593,358.44,360.95,352.855
NFLX,2023-01-27,360.77,6703548,363.2,365.92,360.59
NFLX,2023-01-26,364.87,8256844,368.77,369.02,361.7
