Company,Date,Close/Last,Volume,Open,High,Low
AMD,2023-07-17,118.32,68593290,115.95,118.8399,112.73
AMD,2023-07-14,115.94,91927200,116.17,122.12,115.25
AMD,2023-07-13,115.92,49206700,115.76,116.16,113.575
AMD,2023-07-12,114.58,57993090,112.89,115.3999,112.3101
AMD,2023-07-11,111.32,59899540,111.66,113.27,109.5
AMD,2023-07-10,113.58,49330200,113.0,113.61,109.88
AMD,2023-07-07,113.17,37211290,114.16,115.33,113.04
AMD,2023-07-06,113.48,42411840,112.07,113.79,110.31
AMD,2023-07-05,113.95,49501580,116.1,117.662,113.855
AMD,2023-07-03,115.82,31780660,115.16,116.73,114.51
AMD,2023-06-30,113.91,53378770,113.03,114.69,112.41
AMD,2023-06-29,111.24,58347170,112.065,112.7599,109.84
AMD,2023-06-28,110.17,67534130,108.21,111.78,107.63
AMD,2023-06-27,110.39,59381650,108.565,110.97,107.08
AMD,2023-06-26,107.51,68556980,110.95,112.55,107.2
AMD,2023-06-23,110.01,73621950,109.31,111.0957,107.46
AMD,2023-06-22,110.7,70754780,112.24,114.0,109.85
AMD,2023-06-21,112.11,82835620,118.485,119.1888,111.67
AMD,2023-06-20,118.93,58851780,119.085,121.75,117.7
AMD,2023-06-16,120.08,82007080,125.82,125.85,119.9
AMD,2023-06-15,124.24,85587120,125.39,125.7,122.26
AMD,2023-06-14,127.33,95888120,126.525,127.725,123.81
AMD,2023-06-13,124.53,132461900,132.32,132.83,122.45
AMD,2023-06-12,129.19,85673080,128.52,130.48,126.4
AMD,2023-06-09,124.92,75105040,123.57,127.25,123.55
AMD,2023-06-08,121.05,65246930,118.295,122.21,117.05
AMD,2023-06-07,117.83,81755150,124.025,125.34,117.07
AMD,2023-06-06,124.23,75257500,117.91,124.42,117.74
AMD,2023-06-05,117.93,52602860,116.59,119.32,116.42
AMD,2023-06-02,117.86,52382420,120.75,121.66,117.675
AMD,2023-06-01,119.47,66032920,117.29,121.28,116.6
AMD,2023-05-31,118.21,87552220,122.42,123.96,117.86
AMD,2023-05-30,125.27,98902280,130.415,130.79,123.51
AMD,2023-05-26,127.03,92922750,122.46,127.43,120.89
AMD,2023-05-25,120.35,108514700,117.305,120.69,115.8
AMD,2023-05-24,108.27,65910460,105.98,108.91,105.64
AMD,2023-05-23,108.12,73099110,107.25,110.99,107.19
AMD,2023-05-22,108.0,65424230,104.68,108.79,103.4923
AMD,2023-05-19,105.82,67880220,106.36,107.29,104.6201
AMD,2023-05-18,107.93,74338720,103.98,108.1,103.93
AMD,2023-05-17,103.75,75240890,101.79,104.14,100.05
AMD,2023-05-16,101.48,90622880,97.39,103.28,97.31
AMD,2023-05-15,97.4,51749210,95.2,97.43,93.45
AMD,2023-05-12,95.26,53829710,96.83,97.45,93.68
AMD,2023-05-11,97.1,57061030,98.155,99.19,96.14
AMD,2023-05-10,97.02,95619500,96.42,99.94,96.12
AMD,2023-05-09,95.06,68674790,94.89,96.16,93.4281
AMD,2023-05-08,95.04,95503220,89.99,95.655,89.17
AMD,2023-05-05,89.84,78491110,84.99,90.425,84.72
AMD,2023-05-04,86.61,122840500,81.57,91.64,81.11
AMD,2023-05-03,81.62,109482200,83.54,85.48,81.02
AMD,2023-05-02,89.91,70483510,89.32,90.455,88.12
AMD,2023-05-01,89.69,59358710,91.03,91.04,88.61
AMD,2023-04-28,89.37,50686050,87.02,89.75,86.44
AMD,2023-04-27,87.44,53087210,86.41,87.565,84.09
AMD,2023-04-26,85.94,47786560,86.51,87.35,85.32
AMD,2023-04-25,83.8,52771480,86.9,87.06,83.76
AMD,2023-04-24,87.57,40423790,88.11,88.64,86.34
AMD,2023-04-21,88.43,41118260,89.8,89.8,88.055
AMD,2023-04-20,90.11,47082680,88.825,91.5795,88.73
AMD,2023-04-19,89.94,37344500,88.51,90.54,88.22
AMD,2023-04-18,89.78,46246290,91.61,92.16,89.33
AMD,2023-04-17,89.87,47250780,90.23,90.69,88.3
AMD,2023-04-14,91.75,38734790,91.82,92.97,90.5
AMD,2023-04-13,92.09,40572480,92.79,93.16,91.83
AMD,2023-04-12,92.33,53383120,94.97,95.0,91.74
AMD,2023-04-11,94.03,51935800,96.06,96.07,92.69
AMD,2023-04-10,95.48,52536320,91.32,95.795,91.02
AMD,2023-04-06,92.47,47778380,91.47,92.9148,90.62
AMD,2023-04-05,92.56,52979280,94.35,94.5,91.36
AMD,2023-04-04,95.87,43195880,97.038,97.27,95.21
AMD,2023-04-03,96.56,50655330,96.695,96.79,94.81
AMD,2023-03-31,98.01,55861070,96.34,98.36,95.27
AMD,2023-03-30,97.88,59678530,98.0,99.53,97.25
AMD,2023-03-29,96.09,55325970,96.07,96.91,94.87
AMD,2023-03-28,94.56,59150100,96.77,96.94,92.87
AMD,2023-03-27,96.61,57461350,98.02,98.93,95.425
AMD,2023-03-24,97.95,64743700,99.18,99.52,96.74
AMD,2023-03-23,100.28,84088900,100.05,102.43,98.671
