Company,Date,Close/Last,Volume,Open,High,Low
QCOM,2023-07-17,123.4,6127180,122.33,124.46,120.76
QCOM,2023-07-14,122.56,7892158,123.0,123.18,121.13
QCOM,2023-07-13,123.12,9823039,120.0,123.415,119.88
QCOM,2023-07-12,118.68,8371341,117.56,119.23,117.1
QCOM,2023-07-11,116.87,5786646,117.8,117.87,114.89
QCOM,2023-07-10,117.12,6037016,116.47,118.275,116.47
QCOM,2023-07-07,115.94,6108371,115.37,117.73,114.76
QCOM,2023-07-06,115.22,7548331,115.16,116.2,113.62
QCOM,2023-07-05,117.13,6252356,119.02,119.05,117.1
QCOM,2023-07-03,120.09,2658635,119.27,120.48,118.46
QCOM,2023-06-30,119.04,6565143,119.6,119.86,118.38
QCOM,2023-06-29,118.06,5138531,117.56,118.15,116.88
QCOM,2023-06-28,117.54,6384835,117.02,118.095,116.58
QCOM,2023-06-27,119.79,7308869,116.74,119.94,115.65
QCOM,2023-06-26,116.63,9376996,114.56,117.61,114.3
QCOM,2023-06-23,113.43,11958540,114.09,115.28,113.03
QCOM,2023-06-22,116.4,7285455,116.01,116.68,114.9121
QCOM,2023-06-21,115.76,7925428,118.61,119.02,115.6654
QCOM,2023-06-20,119.82,8670781,121.94,122.37,118.71
QCOM,2023-06-16,122.68,12905730,124.59,124.98,122.1
QCOM,2023-06-15,123.61,8132561,121.58,124.69,121.04
QCOM,2023-06-14,123.4,7324605,124.35,124.43,121.5
QCOM,2023-06-13,124.43,8873225,124.28,125.4,122.75
QCOM,2023-06-12,122.14,9686711,121.04,122.31,119.77
QCOM,2023-06-09,119.11,13810270,117.488,120.85,117.38
QCOM,2023-06-08,116.35,5798724,115.6,116.64,114.1
QCOM,2023-06-07,115.18,7555407,116.63,117.16,114.49
QCOM,2023-06-06,116.36,7594454,112.58,116.79,112.24
QCOM,2023-06-05,112.73,7769250,115.43,115.92,112.64
QCOM,2023-06-02,115.62,7873384,117.24,117.4,114.69
QCOM,2023-06-01,115.83,8616527,114.56,116.56,112.31
QCOM,2023-05-31,113.41,14923980,113.56,114.0,111.6
QCOM,2023-05-30,116.0,18291790,114.5,116.69,112.61
QCOM,2023-05-26,110.35,15969940,104.94,111.28,104.82
QCOM,2023-05-25,104.02,11677430,101.93,104.11,101.47
QCOM,2023-05-24,103.02,8193652,102.08,103.14,101.58
QCOM,2023-05-23,103.56,7452455,104.07,105.64,103.47
QCOM,2023-05-22,105.28,7912384,103.672,105.87,103.25
QCOM,2023-05-19,105.86,5783173,106.95,107.12,105.515
QCOM,2023-05-18,106.96,9141957,104.81,107.12,104.81
QCOM,2023-05-17,104.81,9504738,104.19,105.45,103.58
QCOM,2023-05-16,103.79,7031502,105.67,106.48,103.72
QCOM,2023-05-15,106.28,7444855,103.76,106.4,102.89
QCOM,2023-05-12,103.62,7635857,104.47,104.74,102.61
QCOM,2023-05-11,104.06,10630460,106.29,106.51,103.68
QCOM,2023-05-10,106.46,7980121,107.0,107.48,105.14
QCOM,2023-05-09,105.77,7804117,107.0,107.43,105.3
QCOM,2023-05-08,108.31,6694397,108.375,108.83,106.87
QCOM,2023-05-05,108.78,10745650,108.21,109.27,105.77
QCOM,2023-05-04,106.58,22117510,104.03,107.12,103.5
QCOM,2023-05-03,112.83,11491690,116.66,116.82,112.6
QCOM,2023-05-02,116.11,7081220,116.13,117.06,114.44
QCOM,2023-05-01,115.84,6208535,117.21,117.58,115.51
QCOM,2023-04-28,116.8,8652507,115.095,116.9,113.73
QCOM,2023-04-27,113.92,6945714,113.88,114.3149,112.15
QCOM,2023-04-26,114.16,4671130,114.29,115.1,113.21
QCOM,2023-04-25,114.05,7045163,116.74,116.84,113.68
QCOM,2023-04-24,117.35,4097906,117.82,117.83,116.57
QCOM,2023-04-21,117.76,4980658,117.87,118.19,116.55
QCOM,2023-04-20,118.64,5125024,117.29,119.9,117.12
QCOM,2023-04-19,118.54,4241940,117.25,118.69,116.45
QCOM,2023-04-18,118.36,4829930,120.34,120.8,117.41
QCOM,2023-04-17,119.38,6370194,119.13,119.84,118.165
QCOM,2023-04-14,120.16,4833111,120.87,121.92,118.76
QCOM,2023-04-13,121.13,6077122,120.05,121.66,119.115
QCOM,2023-04-12,120.27,5288338,124.41,124.5,120.1501
QCOM,2023-04-11,123.57,5001428,125.25,125.25,123.17
QCOM,2023-04-10,124.29,5243707,122.09,124.58,121.675
QCOM,2023-04-06,123.0,5260583,122.34,123.85,121.05
QCOM,2023-04-05,123.04,6920920,121.42,123.22,121.25
QCOM,2023-04-04,122.3,6962720,124.93,125.215,121.81
QCOM,2023-04-03,124.74,6367804,126.99,127.574,123.605
QCOM,2023-03-31,127.58,6222445,126.65,127.97,126.29
QCOM,2023-03-30,127.4,8156371,127.08,128.19,126.43
QCOM,2023-03-29,125.09,6410053,123.42,125.96,123.25
QCOM,2023-03-28,121.34,5272075,123.6,123.68,120.21
QCOM,2023-03-27,123.6,4817952,125.74,126.06,123.32
QCOM,2023-03-24,124.76,6987982,123.63,124.93,122.25
QCOM,2023-03-23,124.15,7353827,123.935,127.0,122.1
QCOM,2023-03-22,121.97,7072705,124.0,126.24,121.87
QCOM,2023-03-21,123.8,6900640,122.988,125.07,122.15
QCOM,2023-03-20,121.82,5945023,120.77,122.02,119.81
QCOM,2023-03-17,120.73,12304150,120.78,122.87,119.15
QCOM,2023-03-16,120.51,11211590,117.0,120.83,115.91
QCOM,2023-03-15,115.49,8596906,115.25,116.18,113.14
QCOM,2023-03-14,116.55,8312148,116.41,117.06,113.92
QCOM,2023-03-13,114.43,7673665,113.76,116.24,113.28
QCOM,2023-03-10,115.19,6884539,117.54,118.23,114.53
QCOM,2023-03-09,117.22,8055507,121.28,121.92,116.94
QCOM,2023-03-08,121.2,7633866,119.55,121.75,119.35
QCOM,2023-03-07,119.19,8879728,122.48,122.5,118.28
QCOM,2023-03-06,122.41,7031270,124.28,125.1747,122.03
QCOM,2023-03-03,123.6,7052093,123.99,124.21,121.67
QCOM,2023-03-02,123.78,5260916,122.16,124.26,120.855
QCOM,2023-03-01,123.68,5530594,123.78,125.47,122.98
QCOM,2023-02-28,123.53,6491849,123.62,125.1,122.92
QCOM,2023-02-27,123.42,7787226,126.5,126.6,123.04
QCOM,2023-02-24,124.34,7357182,124.24,124.71,123.1808
QCOM,2023-02-23,126.2,6440201,126.61,127.23,123.67
QCOM,2023-02-22,123.95,5517829,124.32,124.97,122.92
QCOM,2023-02-21,123.7,8164373,125.46,127.616,123.55
QCOM,2023-02-17,127.72,6022526,129.5,129.81,126.96
QCOM,2023-02-16,130.16,5788436,130.75,132.59,129.95
QCOM,2023-02-15,133.07,3503851,130.6,133.33,130.3
QCOM,2023-02-14,132.34,5579884,129.2,132.88,128.36
QCOM,2023-02-13,130.84,5550427,129.46,131.43,128.39
QCOM,2023-02-10,128.99,5319227,129.29,129.94,127.6201
QCOM,2023-02-09,130.53,5717507,133.89,135.228,129.92
QCOM,2023-02-08,132.17,7151740,135.31,136.28,131.76
QCOM,2023-02-07,136.63,7664198,133.15,137.38,132.33
QCOM,2023-02-06,132.93,6830514,132.27,134.88,131.86
QCOM,2023-02-03,135.02,13187260,131.16,138.4,128.57
QCOM,2023-02-02,135.85,17673180,138.46,139.1637,134.801
QCOM,2023-02-01,138.46,10500600,132.68,139.94,132.68
QCOM,2023-01-31,133.21,7125079,131.325,133.635,131.325
QCOM,2023-01-30,131.63,9854271,131.05,132.4,130.15
QCOM,2023-01-27,133.4,6581941,131.49,134.89,131.42
QCOM,2023-01-26,133.96,7413602,134.405,134.85,131.1646
QCOM,2023-01-25,131.17,6880304,128.45,131.54,127.7
QCOM,2023-01-24,130.7,7952417,130.55,132.97,130.15
QCOM,2023-01-23,131.03,13419480,126.54,132.06,125.82
QCOM,2023-01-20,122.9,8895014,118.42,122.96,117.34
QCOM,2023-01-19,117.58,8716170,121.06,121.1,117.42
QCOM,2023-01-18,122.04,10960420,121.62,123.99,121.01
QCOM,2023-01-17,120.28,6179477,119.735,121.32,119.02
QCOM,2023-01-13,120.24,8040401,119.82,121.42,119.72
QCOM,2023-01-12,121.59,9527629,119.24,122.38,117.65
QCOM,2023-01-11,118.39,7374382,117.44,118.5,115.17
QCOM,2023-01-10,116.91,6384775,114.02,116.97,113.7211
QCOM,2023-01-09,114.61,10291800,116.73,118.85,113.54
QCOM,2023-01-06,115.34,10259280,110.96,115.98,110.05
QCOM,2023-01-05,109.4,7545964,109.93,110.92,109.13
QCOM,2023-01-04,111.53,7614231,109.8,112.23,108.81
QCOM,2023-01-03,107.2,8110390,111.35,111.74,107.13
QCOM,2022-12-30,109.94,5642260,107.97,110.06,107.22
QCOM,2022-12-29,109.84,6668592,108.35,110.66,108.11
QCOM,2022-12-28,106.97,5395637,108.87,110.27,106.82
QCOM,2022-12-27,109.46,6158132,109.75,110.685,108.89
QCOM,2022-12-23,110.84,5356708,109.7,110.92,108.21
QCOM,2022-12-22,110.68,12052940,112.57,112.59,107.375
QCOM,2022-12-21,114.59,5843839,112.76,114.9634,112.69
QCOM,2022-12-20,112.1,6260217,111.4,112.78,111.1
QCOM,2022-12-19,112.61,7720218,114.01,115.16,111.51
QCOM,2022-12-16,114.53,12733930,116.08,116.66,113.35
QCOM,2022-12-15,116.64,10210210,120.25,120.52,116.075
QCOM,2022-12-14,121.71,9444090,124.23,126.58,120.1
QCOM,2022-12-13,123.49,9712730,126.98,127.95,121.82
QCOM,2022-12-12,121.21,9008426,116.06,121.25,116.06
QCOM,2022-12-09,119.05,6035995,120.405,121.4,118.85
QCOM,2022-12-08,121.75,7347612,118.98,122.35,118.18
QCOM,2022-12-07,118.21,5427111,118.5,120.32,117.76
QCOM,2022-12-06,119.78,5968032,122.82,123.0,118.5716
QCOM,2022-12-05,123.3,6091640,124.58,125.47,122.43
QCOM,2022-12-02,125.66,6122172,123.71,125.82,123.1205
