Company,Date,Close/Last,Volume,Open,High,Low
SBUX,2023-07-17,100.93,5246462,100.83,101.81,100.04
SBUX,2023-07-14,101.61,3939769,101.77,102.08,100.985
SBUX,2023-07-13,101.6,4511661,101.51,102.1999,101.3
SBUX,2023-07-12,101.14,6971946,101.42,101.83,100.76
SBUX,2023-07-11,100.09,5271726,99.44,100.23,99.14
SBUX,2023-07-10,99.13,9294603,96.3,99.53,96.23
SBUX,2023-07-07,96.05,7889474,95.99,96.66,95.55
SBUX,2023-07-06,96.2,7156959,97.86,98.07,95.905
SBUX,2023-07-05,98.46,6366733,99.15,99.33,98.29
SBUX,2023-07-03,99.15,3281097,98.73,99.57,98.245
SBUX,2023-06-30,99.06,6229932,99.4,99.4575,98.54
SBUX,2023-06-29,98.68,5113467,98.61,98.83,97.98
SBUX,2023-06-28,98.61,6581859,98.64,98.64,97.3
SBUX,2023-06-27,98.72,5034140,98.39,99.06,97.725
SBUX,2023-06-26,98.23,6069001,98.34,98.77,97.48
SBUX,2023-06-23,98.34,18770110,99.65,99.725,97.52
SBUX,2023-06-22,100.85,6126566,101.42,101.64,99.64
SBUX,2023-06-21,101.87,5508811,100.6,102.455,100.355
SBUX,2023-06-20,101.27,5507161,101.86,102.49,100.9
SBUX,2023-06-16,101.87,11709170,102.01,102.51,101.48
SBUX,2023-06-15,101.38,6448196,101.34,101.99,100.66
SBUX,2023-06-14,100.66,9279505,99.56,101.36,99.19
SBUX,2023-06-13,99.26,5137913,98.51,99.47,98.51
SBUX,2023-06-12,98.46,6708547,97.96,98.51,97.52
SBUX,2023-06-09,97.96,5552325,98.8,98.96,97.64
SBUX,2023-06-08,99.15,6881620,97.65,99.18,96.92
SBUX,2023-06-07,97.92,6285640,98.55,98.86,97.59
SBUX,2023-06-06,98.22,8657061,99.74,100.33,97.53
SBUX,2023-06-05,99.93,6536496,100.04,100.87,99.5
SBUX,2023-06-02,99.5,6221417,98.31,99.66,98.19
SBUX,2023-06-01,97.52,6752182,97.59,98.23,96.52
SBUX,2023-05-31,97.64,10377090,98.03,98.08,96.98
SBUX,2023-05-30,97.75,6505373,98.89,98.96,97.305
SBUX,2023-05-26,98.53,7276461,98.63,99.605,98.33
SBUX,2023-05-25,98.44,8177029,98.7,98.9,97.73
SBUX,2023-05-24,99.61,6134820,100.8,100.81,99.11
SBUX,2023-05-23,100.34,6766298,102.115,102.14,100.075
SBUX,2023-05-22,102.9,7504276,105.52,105.7,102.77
SBUX,2023-05-19,105.51,4985231,107.0,107.1481,105.32
SBUX,2023-05-18,107.09,5377477,105.42,107.14,105.2
SBUX,2023-05-17,105.69,4757275,105.96,106.54,104.945
SBUX,2023-05-16,105.28,3677256,106.41,106.56,105.195
SBUX,2023-05-15,106.64,4217126,106.11,106.755,105.605
SBUX,2023-05-12,106.12,5175562,105.76,106.215,104.83
SBUX,2023-05-11,105.63,4791653,106.44,106.76,105.12
SBUX,2023-05-10,106.97,4565013,107.16,108.11,105.6802
SBUX,2023-05-09,106.71,3682380,106.99,107.175,106.4
SBUX,2023-05-08,107.17,6090713,107.47,108.12,106.93
SBUX,2023-05-05,107.21,7813754,105.55,107.48,105.38
SBUX,2023-05-04,104.72,8858136,104.27,105.67,103.8
SBUX,2023-05-03,103.96,24388560,109.075,109.7194,103.8
SBUX,2023-05-02,114.46,9626359,114.49,114.56,112.85
SBUX,2023-05-01,114.56,6495924,114.252,115.48,114.25
SBUX,2023-04-28,114.29,5979301,112.42,114.31,112.29
SBUX,2023-04-27,112.75,7618524,111.39,112.88,111.18
SBUX,2023-04-26,111.47,8081639,109.01,112.33,109.01
SBUX,2023-04-25,109.34,8747078,108.91,111.11,108.83
SBUX,2023-04-24,109.29,5940686,108.19,109.29,108.0401
SBUX,2023-04-21,108.19,4522838,107.3,108.78,106.66
SBUX,2023-04-20,107.05,4297187,106.192,107.575,106.19
SBUX,2023-04-19,107.16,4617787,107.69,107.86,107.08
SBUX,2023-04-18,107.91,5300676,108.87,109.23,107.73
SBUX,2023-04-17,108.31,4780873,107.958,108.645,107.56
SBUX,2023-04-14,107.47,3963272,106.91,108.17,106.85
SBUX,2023-04-13,106.99,4367557,106.38,107.225,106.25
SBUX,2023-04-12,105.6,4606206,106.24,106.58,105.35
SBUX,2023-04-11,105.74,4010604,105.06,106.4,104.92
SBUX,2023-04-10,104.74,3761576,103.545,104.82,103.07
SBUX,2023-04-06,104.68,3155669,104.9,105.16,104.02
SBUX,2023-04-05,104.9,5170941,103.98,105.7,103.93
SBUX,2023-04-04,104.0,3854429,104.85,105.01,103.35
SBUX,2023-04-03,104.85,3855350,104.06,104.94,103.665
SBUX,2023-03-31,104.13,6900065,101.84,104.28,101.84
SBUX,2023-03-30,101.32,4082616,101.44,101.7,100.65
SBUX,2023-03-29,100.62,4946642,99.33,100.69,98.735
SBUX,2023-03-28,98.72,4709799,98.14,98.91,98.08
SBUX,2023-03-27,98.66,6022228,98.918,99.72,98.575
SBUX,2023-03-24,98.34,4685915,98.22,98.43,97.19
SBUX,2023-03-23,98.42,6879155,99.34,100.13,97.515
SBUX,2023-03-22,99.12,5917747,100.69,101.48,99.06
